pond,date,depth_in,diff_in,diff_m,TIN_volume_degreesquared_meter,TIN_volume_metercubed
H10,06/07/2022,37.5,0,0,0.00,"2,500.95"
H02a,06/07/2022,67.5,-3.9,-0.09906,0.00,"3,119.41"
H01,06/07/2022,103.5,-7.5,-0.1905,0.00,"1,988.64"
H02b,06/07/2022,101.5,-5.5,-0.1397,0.00,"14,828.32"
H25,06/07/2022,66.5,-14.9,-0.37846,0.00,"1,014.20"
H27,06/07/2022,91.5,-8.7,-0.22098,0.00,"5,230.28"
H04,06/07/2022,99.5,-1.1,-0.02794,0.00,"39,027.86"
H53,06/07/2022,49.5,2.75,0.06985,,
H12,06/07/2022,34.5,23,0.5842,,
H21,06/07/2022,12,3,0.0762,,
H05,06/07/2022,61.5,3.3,0.08382,0.00,913.97
H06,06/07/2022,93.5,-13.1,-0.33274,0.00,"16,974.65"
H23,06/07/2022,63.5,0,0,,
H24,06/07/2022,28.5,0,0,,
H09,06/07/2022,61.5,0.9,0.02286,0.00,"6,429.75"
H32,06/07/2022,19,3,0.0762,,
H99,06/07/2022,61.5,0.9,0.02286,,
H52,06/07/2022,74.5,2.3,0.05842,0.00,820.20
H48,06/07/2022,95.5,0.5,0.0127,0.00,"7,239.33"
H55,06/07/2022,38.5,0,0,,
H10,06/14/2022,39,-1.5,-0.0381,0.00,"2,734.51"
H02a,06/14/2022,68,-4.4,-0.11176,0.00,"3,168.32"
H01,06/14/2022,105,-9,-0.2286,0.00,"2,034.55"
H02b,06/14/2022,102,-6,-0.1524,0.00,"14,959.53"
H25,06/14/2022,67,-15.4,-0.39116,0.00,"1,025.85"
H27,06/14/2022,91,-8.2,-0.20828,0.00,"5,199.35"
H04,06/14/2022,103,-4.6,-0.11684,0.00,"40,578.05"
H53,06/14/2022,52.25,0,0,,
H12,06/14/2022,57.5,0,0,,
H21,06/14/2022,15,0,0,,
H05,06/14/2022,62.5,2.3,0.05842,0.00,946.05
H06,06/14/2022,94,-13.6,-0.34544,0.00,"17,043.50"
H23,06/14/2022,62.5,1,0.0254,,
H24,06/14/2022,27,1.5,0.0381,,
H09,06/14/2022,63.25,-0.85,-0.02159,0.00,"6,739.14"
H32,06/14/2022,22,0,0,,
H99,06/14/2022,65.5,-3.1,-0.07874,,
H52,06/14/2022,71.5,5.3,0.13462,0.00,760.70
H48,06/14/2022,92,4,0.1016,0.00,"6,849.62"
H55,06/14/2022,57.5,-19,-0.4826,,
H10,06/23/2022,36.5,1,0.0254,0.00,"2,364.45"
H02a,06/23/2022,67.375,-3.775,-0.095885,0.00,"3,107.18"
H01,06/23/2022,102,-6,-0.1524,0.00,"1,942.72"
H02b,06/23/2022,101.4375,-5.4375,-0.1381125,0.00,"14,811.92"
H25,06/23/2022,67.25,-15.65,-0.39751,0.00,"1,031.68"
H27,06/23/2022,91.4375,-8.6375,-0.2193925,0.00,"5,226.41"
H04,06/23/2022,98.5,-0.1,-0.00254,0.00,"38,584.95"
H53,06/23/2022,47.75,4.5,0.1143,,
H12,06/23/2022,30.5625,26.9375,0.6842125,,
H21,06/23/2022,11,4,0.1016,,
H05,06/23/2022,59,5.8,0.14732,0.00,835.66
H06,06/23/2022,93.25,-12.85,-0.32639,0.00,"16,940.23"
H23,06/23/2022,49.75,13.75,0.34925,,
H24,06/23/2022,18.25,10.25,0.26035,,
H09,06/23/2022,63,-0.6,-0.01524,0.00,"6,693.15"
H32,06/23/2022,17.5,4.5,0.1143,,
H99,06/23/2022,66.25,-3.85,-0.09779,,
H52,06/23/2022,70.25,6.55,0.16637,0.00,736.77
H48,06/23/2022,94.5,1.5,0.0381,0.00,"7,127.14"
H55,06/23/2022,38.4375,0.0625,0.0015875,,
H10,06/28/2022,33.5,4,0.1016,0.00,"1,982.09"
H02a,06/28/2022,67,-3.4,-0.08636,0.00,"3,070.50"
H01,06/28/2022,99,-3,-0.0762,0.00,"1,850.89"
H02b,06/28/2022,101.25,-5.25,-0.13335,0.00,"14,762.72"
H25,06/28/2022,67,-15.4,-0.39116,0.00,"1,025.85"
H27,06/28/2022,91,-8.2,-0.20828,0.00,"5,199.35"
H04,06/28/2022,94,4.4,0.11176,0.00,"36,678.35"
H53,06/28/2022,43.5,8.75,0.22225,,
H12,06/28/2022,25,32.5,0.8255,,
H21,06/28/2022,7.75,7.25,0.18415,,
H05,06/28/2022,55.5,9.3,0.23622,0.00,730.30
H06,06/28/2022,92,-11.6,-0.29464,0.00,"16,768.10"
H23,06/28/2022,54,9.5,0.2413,,
H24,06/28/2022,15.5,13,0.3302,,
H09,06/28/2022,62,0.4,0.01016,0.00,"6,514.56"
H32,06/28/2022,15,7,0.1778,,
H99,06/28/2022,65.5,-3.1,-0.07874,,
H52,06/28/2022,70,6.8,0.17272,0.00,732.02
H48,06/28/2022,92,4,0.1016,0.00,"6,849.62"
H55,06/28/2022,37,1.5,0.0381,,
H10,07/21/2022,24,13.5,0.3429,0.00,"1,018.89"
H02a,07/21/2022,67.5,-3.9,-0.09906,0.00,"3,119.41"
H01,07/21/2022,89,7,0.1778,0.00,"1,561.11"
H02b,07/21/2022,101.5,-5.5,-0.1397,0.00,"14,828.32"
H25,07/21/2022,41.5,10.1,0.25654,0.00,479.72
H27,07/21/2022,114,-31.2,-0.79248,0.00,"6,622.09"
H04,07/21/2022,76.5,21.9,0.55626,0.00,"29,529.43"
H53,07/21/2022,19.75,32.5,0.8255,,
H12,07/21/2022,51.25,6.25,0.15875,,
H21,07/21/2022,0,15,0.381,,
H05,07/21/2022,41.75,23.05,0.58547,0.00,367.05
H06,07/21/2022,91,-10.6,-0.26924,0.00,"16,630.41"
H23,07/21/2022,54.25,9.25,0.23495,,
H24,07/21/2022,0,28.5,0.7239,,
H09,07/21/2022,56.5,5.9,0.14986,0.00,"5,609.75"
H32,07/21/2022,0,22,0.5588,,
H99,07/21/2022,65,-2.6,-0.06604,,
H52,07/21/2022,58,18.8,0.47752,0.00,519.20
H48,07/21/2022,81,15,0.381,0.00,"5,682.80"
H55,07/21/2022,36.75,1.75,0.04445,,